objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,18-AA-56-029.jpg,,,Hawaii - Honolulu through University of Hawaii,WarWar Department. Army Air Forces,1939-04-06,Aerial view of the university campus in 1939.,University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",,,"""Airscapes"" of American and Foreign Areas, 1917–1964
Creator:",,,"image/jpg
",,Unrestricted use,
coll002,uhmanoa_entrance.jpg,,,Entrance to UH Manoa,MJ Bird,2015,,University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",21.301576,-157.82041,Wikimedia Commons,,,"image/jpg
",,Fair use,Creative Commons Attribution-Share Alike 4.0 International 
coll003,moorehall_uhmanoa.jpg,,,Moore Hall,Sdkb,2025,,University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",21.301058,-157.814994,Wikimedia Commons,,,"image/jpg
",,Fair use,Creative Commons Attribution-Share Alike 4.0 International 
coll004,,sycK1sJJVWE,,University of Hawai'i at Mānoa Campus Highlights,University of Hawai'i at Mānoa - Admissions,2022,,University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",,,Youtube,,,video/mp4,,Fair use,
coll005,Sakamaki_Hall.jpg,,,Sakamaki Hall,Mcampany,2018,,University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",21.29756239,-157.8170846,Wikimedia Commons,,,image/jpg,,Fair use,Creative Commons Attribution-Share Alike 4.0 International 
